date_sampled,address,1st_draw,2nd_draw,3rd_draw,4th_draw,5th_draw,6th_draw,7th_draw,8th_draw,9th_draw,10th_draw,year,month,1st_5th_highest,highest_sample
2016-11-26,37XX N Olcott Ave,8.58,3.73,9.87,7.31,5.03,9.98,6.04,6.09,6.71,10.8,2016,11,8.58,10.8
2016-11-26,94XX S Winchester Ave**,5.46,5.52,6.79,6.88,7.77,12.2,8.2,8.27,8.76,8.45,2016,11,7.77,12.2
2016-11-30,44XX N Monticello Ave,4.62,5.74,6.47,6.58,6.27,11.3,22.8,25.0,20.6,16.1,2016,11,6.27,25.0
2016-12-02,111XX S Hoyne Ave,6.08,6.18,6.28,11.0,6.9,6.36,8.04,7.44,7.68,12.4,2016,12,6.9,12.4
2016-12-03,21XX W 110th Pl**,5.31,5.22,13.9,29.0,30.7,28.3,25.6,25.0,24.8,23.6,2016,12,30.7,30.7
2016-12-10,101XX S Seeley Ave,8.26,8.29,7.79,8.1,6.84,6.83,6.57,6.57,8.59,9.83,2016,12,8.26,9.83
2016-12-10,93XX S Dr Martin Luther King Jr Dr,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,12,25.7,25.7
2016-12-13,19XX W 115th St,3.88,4.54,4.9,5.69,5.78,5.81,5.78,5.7,5.28,4.66,2016,12,5.78,5.81
2016-12-13,93XX S Phillips Ave,232.0,24.0,37.3,14.1,55.3,43.7,32.5,30.0,28.8,23.1,2016,12,232.0,232.0
2016-12-15,71XX W Talcott Ave,5.32,6.49,6.48,6.7,6.84,6.92,7.2,7.29,,,2016,12,6.84,7.29
2016-12-16,20XX N Bissell St,15.3,18.5,21.0,21.0,21.6,20.7,17.6,18.9,16.8,14.9,2016,12,21.6,21.6
2016-12-17,53XX S Kimbark Ave**,8.78,13.4,14.6,16.4,17.0,17.1,16.3,13.9,12.4,11.3,2016,12,17.0,17.1
